K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_AF_03_101;AFP;1;1
PE_AF_04_001;AFP;1;1
PE_AF_04_010;AFP;1;1
PE_AF_04_020;AFP;1;1
PE_AF_04_103;AFP;1;1
PE_AF_04_104;AFP;1;1
PE_AF_04_105;AFP;1;1
PE_AF_04_106;AFP;1;1
PE_AF_04_107;AFP;1;1
PE_AF_04_108;AFP;1;1
PE_AF_04_109;AFP;1;1
PE_AF_04_110;AFP;1;1
PE_AF_04_111;AFP_PRIVAT;1;1
PE_AF_04_112;AFP_PRIVAT;1;1
PE_AF_04_114;AFP_PRIVAT;1;1
PE_AP_01_001;AFP;1;1
PE_AP_01_001;AFP_PRIVAT;1;1
PE_AP_01_001;ALDER;1;1
PE_AP_01_001;BARNEP;1;1
PE_AP_01_001;FAM_PL;1;1
PE_AP_01_001;GAM_YRK;1;1
PE_AP_01_001;GENRL;1;1
PE_AP_01_001;GJENLEV;1;1
PE_AP_01_001;GRBL;1;1
PE_AP_01_001;KRIGSP;1;1
PE_AP_01_001;OMSORG;1;1
PE_AP_01_001;UFOREP;1;1
PE_AP_01_004;AFP;0;0
PE_AP_01_004;AFP_PRIVAT;0;0
PE_AP_01_004;ALDER;0;0
PE_AP_01_004;BARNEP;0;0
PE_AP_01_004;FAM_PL;0;0
PE_AP_01_004;GAM_YRK;0;0
PE_AP_01_004;GENRL;0;0
PE_AP_01_004;GJENLEV;0;0
PE_AP_01_004;GRBL;0;0
PE_AP_01_004;KRIGSP;0;0
PE_AP_01_004;OMSORG;0;0
PE_AP_01_004;UFOREP;0;0
PE_AP_01_006;ALDER;1;1
PE_AP_01_006;GENRL;1;1
PE_AP_04_001;ALDER;1;1
PE_AP_04_010;ALDER;1;1
PE_AP_04_020;ALDER;1;1
PE_AP_04_202;ALDER;1;1
PE_AP_04_203;ALDER;1;1
PE_AP_04_211;ALDER;1;1
PE_AP_04_212;ALDER;1;1
PE_AP_04_214;ALDER;1;1
PE_AP_04_215;ALDER;1;1
PE_AP_04_216;AFP_PRIVAT;1;1
PE_AP_04_216;ALDER;1;1
PE_AP_04_220;ALDER;1;1
PE_AP_04_222;ALDER;1;1
PE_AP_04_223;ALDER;1;1
PE_AP_04_224;ALDER;1;1
PE_AP_04_225;ALDER;1;1
PE_AP_04_901;ALDER;1;1
PE_AP_04_902;ALDER;1;1
PE_AP_04_903;ALDER;1;1
PE_AP_04_904;ALDER;1;1
PE_AP_04_910;ALDER;1;1
PE_AP_04_911;ALDER;1;1
PE_AP_04_912;ALDER;1;1
PE_AP_04_913;ALDER;1;1
PE_AP_04_914;ALDER;1;1
PE_AP_04_920;ALDER;1;1
PE_AP_04_922;ALDER;1;1
PE_BA_01_108;AFP;1;1
PE_BA_01_108;ALDER;1;1
PE_BA_01_108;UFOREP;1;1
PE_BP_01_001;BARNEP;1;1
PE_BP_01_002;BARNEP;1;1
PE_BP_04_001;BARNEP;1;1
