K_BREV_T;K_FAGOMRADE;K_DOK_T;K_DOK_KATEGORI;BREVGRUPPE;REDIGERBART;DEKODE;DATO_FOM;DATO_TOM;ER_GYLDIG;DATO_OPPRETTET;OPPRETTET_AV;DATO_ENDRET;ENDRET_AV;K_BREV_REGEL_T;K_BREV_KATEGORI_T;K_BREV_UTLAND_T;K_BREV_KONTEKST_T;SYNLIG_FOR_VEILEDER;K_BREV_KRAV_T;VIS_I_PSELV;PRIORITET;DOKUMENT_TYPE_ID;DOKSYS;DOKUMENT_TYPE_ID_1;DOKUMENTMAL;DOKUMENTMAL_FELLESELEMENT;DOKUMENTMAL_REFERANSE;DATO_OPPRETTET_1;OPPRETTET_AV_1;DATO_ENDRET_1;ENDRET_AV_1;VERSJON
E001;PEN;U;E_BLANKETT;brevgr008;1;E 001 - Anmodning om opplysninger;1899-12-31;;1;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;OVRIGE;;;;;;1;;;;;;;;;;;;
E204;PEN;U;E_BLANKETT;brevgr008;1;E 204 - Behandling av krav om uf�retrygd/uf�repensjon;1899-12-31;;1;2014-09-01 16.30.00,000000000;Jonathan Share;2014-09-19 10.30.00,000000000;Jonathan Share;OVRIGE;;;;;;;;;;;;;;;;;;
E205;PEN;U;E_BLANKETT;brevgr008;1;E 205 - Attest om trygdetid i Norge;1899-12-31;;1;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;OVRIGE;;;;;;1;;;;;;;;;;;;
E210;PEN;U;E_BLANKETT;brevgr008;1;E 210 - Melding om vedtak i sak som gjelder krav;1899-12-31;;1;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;OVRIGE;;;;;;1;;;;;;;;;;;;
E211;PEN;U;E_BLANKETT;brevgr008;1;E 211 - Samlet melding om vedtakene;1899-12-31;;1;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;2014-02-07 13.00.00,000000000;Kjetil Torvund Minde;OVRIGE;;;;;;1;;;;;;;;;;;;
H001;PEN;U;SED;brevgr008;1;H001 - Anmodning om informasjon;1899-12-31;;1;2011-01-07 16.00.00,000000000;Mathilde Eidem;2018-11-27 18.00.00,000000000;PK-55700;OVRIGE;;;;;;1;;;;;;;;;;;;
H002;PEN;U;SED;brevgr008;1;H002 - Svar p� anmodning om informasjon;1899-12-31;;1;2011-01-07 16.00.00,000000000;Mathilde Eidem;2018-11-27 18.00.00,000000000;PK-55700;OVRIGE;;;;;;1;;;;;;;;;;;;
H010;PEN;I;SED;INGEN_BREVGRUPPE;0;H010 Kunngj�ring om endringer i gjeldende lovgivning;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H011;PEN;I;SED;INGEN_BREVGRUPPE;0;H011 Anmodning om dato for endring av gjeldende lovgivning;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H012;PEN;I;SED;INGEN_BREVGRUPPE;0;H012 Svar p� anmodning om informasjon om endring av gjeldende lovgivning;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
