K_BREV_T;SPRAK_2_TEGN
PE_AF_01_010;NB
PE_AF_02_001;NB
PE_AF_03_100;NB
PE_AF_04_001;NB
PE_AF_04_001;NN
PE_AF_04_010;NB
PE_AF_04_010;NN
PE_AF_04_020;NB
PE_AF_04_020;NN
PE_AF_04_100;NB
PE_AF_04_101;NB
PE_AF_04_102;NB
PE_AF_04_107;NB
PE_AF_04_113;NB
PE_AP_01_001;EN
PE_AP_01_001;NB
PE_AP_01_002;EN
PE_AP_01_002;NB
PE_AP_01_003;EN
PE_AP_01_003;NB
PE_AP_01_004;EN
PE_AP_01_004;NB
PE_AP_01_005;EN
PE_AP_01_005;NB
PE_AP_01_006;NB
PE_AP_01_006;EN
PE_AP_01_006;FR
PE_AP_02_001;NB
PE_AP_02_001;NN
PE_AP_02_002;NB
PE_AP_02_002;FR
PE_AP_02_002;EN
PE_AP_02_003;NB
PE_AP_04_001;EN
PE_AP_04_001;NB
PE_AP_04_001;NN
PE_AP_04_010;EN
PE_AP_04_010;NB
PE_AP_04_010;NN
PE_AP_04_020;EN
PE_AP_04_020;NB
PE_AP_04_020;NN
PE_AP_04_901;EN
PE_AP_04_901;NB
PE_AP_04_902;EN
PE_AP_04_902;NB
PE_AP_04_903;EN
PE_AP_04_903;NB
PE_AP_04_904;EN
PE_AP_04_904;NB
PE_AP_04_910;EN
PE_AP_04_910;NB
PE_AP_04_911;EN
PE_AP_04_911;NB
PE_AP_04_912;EN
PE_AP_04_912;NB
PE_AP_04_913;EN
PE_AP_04_913;NB
PE_AP_04_914;EN
PE_AP_04_914;NB
PE_AP_04_920;EN
PE_AP_04_920;NB
PE_AP_04_921;NB
PE_BA_04_501;NB
PE_BA_04_502;NB
PE_BA_04_503;NB
PE_BA_04_504;NB
PE_BA_04_504;NN
PE_BA_04_505;NB
PE_BA_04_505;NN
PE_BA_04_506;NB
PE_BA_04_506;NN
PE_BA_04_507;NB
PE_BA_04_508;NB
PE_BA_04_509;NB
PE_BA_04_510;NB
PE_BA_04_511;NB
PE_BA_04_512;NB
PE_BA_04_515;NB
PE_BA_04_515;NN
PE_BA_04_516;NB
PE_BA_04_520;NB
PE_BA_04_521;NB
PE_BA_04_522;NB
PE_BA_04_523;NB
PE_BA_04_525;NB
PE_BA_04_526;NB
PE_BA_04_527;NB
PE_BA_04_528;NB
PE_BA_04_529;NB
PE_BA_04_530;NB
PE_BA_04_531;NB
PE_BA_04_532;NB
PE_BA_04_533;NB
PE_BP_01_001;EN
PE_BP_01_001;NB
PE_BP_01_002;EN
PE_BP_01_002;NB
PE_BP_02_001;NB
PE_BP_02_001;NN
PE_BP_02_001;EN
PE_BP_02_003;NB
PE_BP_04_001;EN
PE_BP_04_001;NB
PE_BP_04_002;NB
PE_BP_04_010;EN
PE_BP_04_010;NB
PE_BP_04_011;NB
PE_BP_04_020;EN
PE_BP_04_020;NB
PE_BP_04_021;NB
PE_BP_04_030;EN
PE_BP_04_030;NB
PE_BP_04_031;NB
PE_FT_01_004;NB
PE_FT_01_005;NB
PE_FT_02_001;NB
PE_FT_02_001;NN
PE_FT_02_001;EN
PE_GP_01_001;EN
PE_GP_01_001;NB
PE_GP_01_002;EN
PE_GP_01_002;NB
PE_GP_01_003;EN
PE_GP_01_003;NB
PE_GP_01_004;EN
PE_GP_01_004;NB
PE_GP_01_005;EN
PE_GP_01_005;NB
PE_GP_01_006;EN
PE_GP_01_006;NB
PE_GP_01_007;EN
PE_GP_01_007;NB
PE_GP_01_010;EN
PE_GP_01_010;NB
PE_GP_01_011;EN
PE_GP_01_011;NB
PE_GP_01_012;EN
PE_GP_01_012;NB
PE_GP_02_001;NB
PE_GP_02_001;NN
PE_GP_02_001;EN
PE_GP_02_002;NB
PE_GP_04_001;EN
PE_GP_04_001;NB
PE_GP_04_001;NN
PE_GP_04_010;EN
PE_GP_04_010;NB
PE_GP_04_010;NN
PE_GP_04_020;EN
PE_GP_04_020;NB
PE_GP_04_020;NN
PE_GP_04_022;NB
PE_GP_04_023;NB
PE_GP_04_024;NB
PE_GP_04_025;NB
PE_GP_04_026;NB
PE_GP_04_027;NB
PE_GP_04_028;NB
PE_GP_04_029;NB
PE_GP_04_030;EN
PE_GP_04_030;NB
PE_GP_04_030;NN
PE_GP_04_031;NB
PE_GP_04_032;NB
PE_GP_04_033;NB
PE_GP_04_034;NB
PE_IY_02_101;NB
PE_IY_02_101;NN
PE_IY_02_102;NB
PE_IY_02_102;NN
PE_IY_02_111;NB
PE_IY_02_401;NB
PE_IY_02_402;NB
PE_IY_03_047;EN
PE_IY_03_047;NB
PE_IY_03_048;EN
PE_IY_03_048;NB
PE_IY_03_049;NB
PE_IY_03_051;EN
PE_IY_03_051;NB
PE_IY_03_150;NB
PE_IY_03_151;EN
PE_IY_03_151;NB
PE_IY_03_152;NB
PE_IY_03_153;EN
PE_IY_03_153;NB
PE_IY_03_154;NB
PE_IY_03_155;NB
PE_IY_03_156;NB
PE_IY_03_157;EN
PE_IY_03_157;NB
PE_IY_03_158;EN
