K_BREV_T;K_VEDLEGG_T;RANK
DSYS_G_I_REDIGERBAR;RETTIGH_V1;1
DSYS_G_REDIGERBAR;RETTIGH_V1;1
AP_AVSL_FT_MAN;RETTIGH_V1;1
AP_ENDR_GJRETT_MAN;RETTIGH_PLIKT_V1;1
AP_ENDR_FLYTT_MAN;RETTIGH_PLIKT_V1;1
AP_INNV_AO_75_AUTO;RETTIGH_PLIKT_V1;1
AP_STANS_FLYTT_MAN;RETTIGH_V1;1
AP_INNV_AO_FAP_AUTO;RETTIGH_PLIKT_V1;1
AP_ENDR_FT_MAN;RETTIGH_PLIKT_V1;1
AP_ENDR_OPPTJ_MAN;RETTIGH_PLIKT_V1;1
AP_ENDR_EPS_AUTO;RETTIGH_PLIKT_V1;1
BP_OPPH_MAN;RETTIGH_V1;1
BP_AVSL_MAN;RETTIGH_V1;1
AP_ENDR_EPS_MAN;RETTIGH_PLIKT_V1;1
AP_ENDR_STANS_MAN;RETTIGH_V1;1
AP_ENDR_GRAD_MAN;RETTIGH_PLIKT_V1;1
AP_INNV_AVT_MAN;RETTIGH_PLIKT_V1;1
AP_INNV_AUTO;RETTIGH_PLIKT_V1;1
AP_OPPH_ENDR_FT_AUTO;RETTIGH_PLIKT_V1;1
AP_INNV_AO_GJP_AUTO;RETTIGH_PLIKT_V1;1
AP_ENDR_OPPTJ_AUTO;RETTIGH_PLIKT_V1;1
AP_ENDR_INST_MAN;RETTIGH_PLIKT_V1;1
AP_OPPH_FT_MAN;RETTIGH_PLIKT_V1;1
AFP_ENDR_OPPTJ_AUTO;AFP_PRIV_MND_UTB_V1;1
AP_RETTING_AUTO;AP_MND_UTB_V1;1
AP_INNV_MAN;RETTIGH_PLIKT_V1;1
AP_ENDR_EPS_AUTO;AP_MND_UTB_V1;2
AP_RETTING_AUTO;RETTIGH_PLIKT_V1;2
AP_OPPH_FT_MAN;AP_MND_UTB_V1;2
AP_ENDR_OPPTJ_MAN;AP_MND_UTB_V1;2
AP_ENDR_INST_MAN;AP_MND_UTB_V4;2
AP_ENDR_GRAD_MAN;AP_MND_UTB_V1;2
AP_ENDR_OPPTJ_AUTO;AP_MND_UTB_V1;2
AP_ENDR_FLYTT_MAN;AP_MND_UTB_V1;2
AP_INNV_AO_FAP_AUTO;AP_MND_UTB_V1;2
AP_INNV_AVT_MAN;AP_MND_UTB_V1;2
AP_INNV_AUTO;AP_MND_UTB_V1;2
AP_ENDR_EPS_MAN;AP_MND_UTB_V1;2
AP_INNV_AO_75_AUTO;AP_MND_UTB_V1;2
AP_AVSL_GJRETT_MAN;AP_MND_UTB_V1;2
AP_AVSL_GJRETT_MAN;RETTIGH_V1;2
AP_OPPH_ENDR_FT_AUTO;AP_MND_UTB_V1;2
AP_ENDR_FT_MAN;AP_MND_UTB_V1;2
AP_INNV_MAN;AP_MND_UTB_V1;2
AP_AVSL_FT_MAN;AP_MND_UTB_V1;2
AP_INNV_AO_GJP_AUTO;AP_MND_UTB_V1;2
AP_ENDR_GJRETT_MAN;AP_MND_UTB_V1;2
AFP_ENDR_OPPTJ_AUTO;RETTIGH_V1;2
AP_ENDR_OPPTJ_MAN;AP_OPPL_BER_V1;3
AP_ENDR_OPPTJ_AUTO;AP_OPPL_BER_V1;3
AP_ENDR_GJRETT_MAN;AP_AVDOD_OPPL_BER_V1;3
AP_ENDR_FLYTT_MAN;AP_OPPL_BER_V1;3
AP_ENDR_GRAD_MAN;AP_OPPL_BER_END_V1;3
AP_INNV_AO_FAP_AUTO;AP_OPPL_BER_V1;3
AP_INNV_AVT_MAN;AP_OPPL_BER_V1;3
AP_INNV_AUTO;AP_OPPL_BER_V1;3
AP_INNV_AO_GJP_AUTO;AP_OPPL_BER_V1;3
AP_INNV_AO_75_AUTO;AP_OPPL_BER_V1;3
AP_INNV_MAN;AP_OPPL_BER_V1;3
AP_ENDR_FLYTT_MAN;AP_AVDOD_OPPL_BER_V1;4
AP_INNV_AO_GJP_AUTO;AP_AVDOD_OPPL_BER_V1;4
AP_INNV_MAN;AP_AVDOD_OPPL_BER_V1;4
AP_ENDR_OPPTJ_AUTO;AP_AVDOD_OPPL_BER_V1;4
AP_INNV_AVT_MAN;AP_AVDOD_OPPL_BER_V1;4
